Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00054   4310318.98   6052327.38       5.00    9.06670    54.56670      -9   1941-01-01   1987-03-31      XX       95.68%          10   Ahrenshoeft
  00055   4501787.53   5304321.96     509.00   12.02390    47.87800      -9   1951-01-01   2015-12-31      XX       84.74%           3   Aibling,_Bad-Ellmosen
  00056   4435894.77   5368280.08     444.00   11.13330    48.45000      -9   1951-01-01   1974-12-31      XX      100.00%           5   Aichach
  00057   4429922.54   5371664.66     457.00   11.05200    48.47980      -9   1978-01-01   2015-12-31      XX      100.00%           3   Hollenbach/Bayern-Schoenbach
  00058   4356411.30   5307685.93     623.00   10.07960    47.89220      -9   1983-07-01   2003-12-31      XX      100.00%           9   Aichstetten
  00059   4478078.47   5394967.79     405.00   11.70220    48.69290      -9   1951-01-01   2005-12-31      XX      100.00%           9   Aiglsbach
  00060   4386147.99   5374979.17     460.00   10.45910    48.50320      -9   1978-01-01   2001-07-31      XX      100.00%           9   Aislingen
  00061   4545289.27   5411943.20     339.00   12.61710    48.84430      -9   1975-07-01   1978-08-31      XX      100.00%           5   Aiterhofen
  00062   4189804.48   5306091.22    1018.00    7.85690    47.81910      -9   1951-01-01   2002-12-31      XX      100.00%           9   Aitern-Untermulten
  00063   4390482.40   5298598.17     747.00   10.53740    47.81720      -9   1951-01-01   2015-12-31      XX      100.00%           3   Aitrang
  00064   4503382.89   5746130.59      55.00   12.04910    51.85060      -9   1969-01-01   2015-12-31      XX       99.82%           1   Aken/Elbe
  00065   4507810.68   5330053.52     513.00   12.10490    48.10940      -9   1941-01-01   2004-05-31      XX       98.42%           9   Albaching
  00066   4322533.97   6005402.90      40.00    9.28330    54.15000      -9   1931-01-01   2005-04-30      XX       98.66%           9   Albersdorf
  00067   4521654.40   5503255.39     511.00   12.30000    49.66670      -9   1951-01-01   1970-12-30      XX      100.00%           5   Albersrieth
